date,week,month,month_name,weekday,is_weekend,price_source,buy_mean_EUR_kWh,buy_max_EUR_kWh,v2g_max_EUR_kWh,A_cost_EUR,A_charge_EUR,C_cost_EUR,C_v2g_rev_EUR,C_charge_EUR,C_deg_EUR,C_v2g_kwh,C_saving_EUR,D_cost_EUR,D_v2g_rev_EUR,D_v2g_kwh,D_saving_EUR
2024-06-01,22,6,Jun,5,1,ML FORECAST 2024-06-01,0.09218984487114716,0.11842252965314216,0.2467856107154407,13.500571675849223,10.233180371501394,10.343007971277267,4.975337811287078,10.534746091508806,4.783599691055539,23.16794444160545,3.157563704571956,10.865390511750363,4.156589564648461,19.368327921009953,2.63518116409886
2024-06-02,22,6,Jun,6,1,ML FORECAST 2024-06-02,0.05845267642960339,0.0876044646320929,0.21251424193152257,10.226304983267724,6.958913678919895,6.2032213651654216,2.789119546837468,4.661609938402513,4.330730973600376,16.248026719659123,4.023083618102302,6.963135689288304,2.6472989490948517,15.478454959699445,3.26316929397942
2024-06-03,23,6,Jun,0,0,ML FORECAST 2024-06-03,0.07593312942979169,0.11817696931615722,0.24522113116991343,11.132357890082366,7.864966585734538,8.762195550459426,3.222070000103313,7.653534576962363,4.330730973600376,16.248026719659126,2.37016233962294,9.596014000152987,3.258367973302829,16.181181782119083,1.5363438899293786
2024-06-04,23,6,Jun,1,0,ML FORECAST 2024-06-04,0.10947406650241125,0.15948416837694201,0.291484168376942,14.499875284370503,11.232483980022675,12.694239748897854,3.831645703529301,12.19515447882678,4.330730973600375,16.248026719659123,1.8056355354726499,13.129973809392144,3.72875575827344,15.68158369639282,1.3699014749783593
2024-06-05,23,6,Jun,2,0,ML FORECAST 2024-06-05,0.12606975206762003,0.1625392976498359,0.2893595492413973,16.111449905988653,12.844058601640825,14.113833974926731,7.6825948368020915,16.556115839900656,5.240312971828166,30.146607801764894,1.9976159310619224,14.67511803259202,4.6235875126971475,18.17568704124612,1.4363318733966342
2024-06-06,23,6,Jun,3,0,ML FORECAST 2024-06-06,0.1136953614624257,0.14623898522589895,0.2773776726307889,15.1192813359716,11.851890031623773,12.947978501138518,7.323735071943492,15.031400601253846,5.240312971828166,30.1466078017649,2.1713028348330816,13.8415391949953,6.092545157629546,25.467620831493214,1.277742140976299
2024-06-07,23,6,Jun,4,0,ML FORECAST 2024-06-07,0.10925268928459868,0.14216295538659732,0.2708512581745641,14.743031658079992,11.475640353732164,12.423093982079452,6.017623122002496,13.492117413026408,4.94859969105554,25.689174944205106,2.3199376760005403,12.817450065087879,5.767393915230969,24.646607801764894,1.9255815929921134
2024-06-08,23,6,Jun,5,1,ML FORECAST 2024-06-08,0.08670770946902395,0.11140483246793696,0.24169734522291084,12.938670959148936,9.67127965480111,8.958980885388629,3.17097946163304,7.7992293734212925,4.330730973600376,16.248026719659123,3.979690073760308,10.077603016137552,1.2465148290560886,6.497508759441607,2.861067943011385
2024-06-09,23,6,Jun,6,1,ML FORECAST 2024-06-09,0.05930145506322332,0.08797628676847351,0.2150489183612747,10.276046300023634,7.008654995675807,6.21381481023269,2.8001006948220395,4.683184531454353,4.330730973600376,16.248026719659123,4.0622314897909435,6.9117895344298415,3.6880297681593976,20.74862808226152,3.364256765593792
2024-06-10,24,6,Jun,0,0,ML FORECAST 2024-06-10,0.07971812873308011,0.12100396063159437,0.24987887138963194,11.398614359589207,8.131223055241378,9.284440090177343,3.31704274910779,8.270751865684758,4.330730973600375,16.248026719659126,2.1141742694118637,9.927164706604067,4.975477251134106,23.996299580638507,1.4714496529851395
2024-06-11,24,6,Jun,1,0,ML FORECAST 2024-06-11,0.10290525344983198,0.14218484997340153,0.2728366623623938,13.813962951510806,10.546571647162978,12.101183600371119,5.997432199476646,13.150016108792222,4.948599691055541,25.689174944205106,1.7127793511396874,12.586032816649114,3.186968688617224,13.774568758766367,1.2279301348616922
2024-06-12,24,6,Jun,2,0,ML FORECAST 2024-06-12,0.1110186818184028,0.14230963148599227,0.2743096314859923,14.742402170884041,11.475010866536213,12.714031558489205,6.133930152732189,13.899362020165857,4.94859969105554,25.689174944205106,2.028370612394836,13.112382441172755,4.077282927148416,17.115711308990118,1.630019729711286
2024-06-13,24,6,Jun,3,0,ML FORECAST 2024-06-13,0.11344425605116071,0.14609519404509944,0.27714807588270596,15.055191628374217,11.787800324026389,12.924229190201316,6.802400373982987,14.613029873128763,5.11359969105554,28.210405446804756,2.130962438172901,13.545439018719694,6.0953620745283565,25.36665400808965,1.509752609654523
2024-06-14,24,6,Jun,4,0,ML FORECAST 2024-06-14,0.11293104122622306,0.1467187710403265,0.2787187710403265,14.949886450025577,11.682495145677748,12.854573799767454,6.799020820578906,14.539994929290822,5.11359969105554,28.210405446804756,2.0953126502581227,13.668111500171513,5.480682227696506,22.59430861449656,1.2817749498540643
2024-06-15,24,6,Jun,5,1,ML FORECAST 2024-06-15,0.0822248496993004,0.1138722325069355,0.24190857179045555,12.425535182143559,9.15814387779573,8.639586300010233,3.163943961109088,7.472799287518946,4.330730973600376,16.24802671965913,3.785948882133326,9.35055559249545,2.0799294015702676,11.017733894668588,3.074979589648109
2024-06-16,24,6,Jun,6,1,ML FORECAST 2024-06-16,0.0745691141943791,0.10666258003767061,0.23745398468390178,11.374803127894506,8.107411823546679,8.177125511313918,3.153021379867934,6.999415917581475,4.330730973600375,16.24802671965913,3.197677616580588,8.55739083749594,3.722921711109451,18.935679792597575,2.817412290398565
2024-06-17,25,6,Jun,0,0,ML FORECAST 2024-06-17,0.09416963427380065,0.12842097902704747,0.25685094447317025,12.98539050697433,9.717999202626501,10.649193683552866,5.686321037333653,11.386915029830979,4.94859969105554,25.689174944205106,2.3361968234214636,11.181391738397393,4.821981989126408,22.33785219332512,1.8039987685769372
2024-06-18,25,6,Jun,1,0,ML FORECAST 2024-06-18,0.10086840709525975,0.14300373080395445,0.27444256698203906,13.719752987972143,10.452361683624314,11.543965760954286,4.69976119299524,11.625127262893985,4.61859969105554,20.646713939005792,2.1757872270178567,12.131557602165017,2.4470470238545388,11.021622853378865,1.5881953858071256
2024-06-19,25,6,Jun,2,0,ML FORECAST 2024-06-19,0.11015964332554166,0.14765925012099002,0.27965925012099,14.622465678865659,11.355074374517832,12.473976932336086,6.055690100166139,13.581067341446683,4.94859969105554,25.689174944205106,2.148488746529573,13.194572600938393,4.800760873880108,20.58136921138024,1.4278930779272656
2024-06-20,25,6,Jun,3,0,ML FORECAST 2024-06-20,0.10767663350876633,0.13678348227323775,0.2670229581570742,14.474227487515726,11.2068361831679,12.206552878683095,6.600232261042034,13.69318544866959,5.11359969105554,28.210405446804756,2.267674608832632,12.657664897798588,5.299451310038416,22.615711308990118,1.8165625897171385
2024-06-21,25,6,Jun,4,0,ML FORECAST 2024-06-21,0.10756055344247943,0.14646285298406483,0.27825587242480204,14.375433279688504,11.108041975340676,12.245425332020934,6.038162723914732,13.334988364880127,4.94859969105554,25.689174944205106,2.13000794766757,12.839404469286414,6.425577626377911,27.5,1.5360288104020903
2024-06-22,25,6,Jun,5,1,ML FORECAST 2024-06-22,0.09264870647601087,0.11813042909026114,0.2456812065852369,13.589340142703819,10.32194883835599,10.3135621466286,5.5205732001731285,10.885535655746189,4.94859969105554,25.689174944205106,3.2757779960752185,10.660947850506941,5.023615654879945,23.338596993388492,2.928392292196877
2024-06-23,25,6,Jun,6,1,ML FORECAST 2024-06-23,0.07592672192672295,0.1113398506447716,0.24248722082427276,11.713300935075072,8.445909630727243,8.267208061577715,3.154332653534375,7.090809741511714,4.330730973600375,16.24802671965913,3.4460928734973564,8.702521881222975,3.169464424326718,16.392489830559704,3.0107790538520973
2024-06-24,26,6,Jun,0,0,ML FORECAST 2024-06-24,0.09777723623021169,0.13166035418157399,0.26078735853445656,13.355423202413483,10.088031898065655,11.257907466159752,5.789136940213785,12.098444715317996,4.94859969105554,25.689174944205106,2.0975157362537313,11.649756268312473,6.378962680862686,28.115711308990118,1.7056669341010107
2024-06-25,26,6,Jun,1,0,ML FORECAST 2024-06-25,0.10973877779544744,0.15089756309935112,0.2828975630993511,14.434438000210363,11.167046695862535,12.510132624140601,6.10771490291682,13.669247836001883,4.94859969105554,25.689174944205106,1.9243053760697624,12.981284559298912,4.679304070150314,19.86665400808965,1.4531534409114517
2024-06-26,26,6,Jun,2,0,ML FORECAST 2024-06-26,0.10947916861965322,0.14245253851416892,0.27445253851416895,14.612845618248794,11.345454313900966,12.416775230143209,6.687774628082746,13.990950167170416,5.11359969105554,28.210405446804756,2.1960703881055856,13.073107687126654,4.889682931005289,20.67595364265103,1.53973793112214
2024-06-27,26,6,Jun,3,0,ML FORECAST 2024-06-27,0.10559211547902149,0.1360651642841738,0.2670662708782304,14.28332614894628,11.015934844598451,12.021299245856943,6.587401780322233,13.495101335123636,5.11359969105554,28.210405446804756,2.262026903089337,12.793592750824834,6.237382757692968,26.902394638428362,1.4897333981214462
2024-06-28,26,6,Jun,4,0,ML FORECAST 2024-06-28,0.10254688192240673,0.13472731795905127,0.2637437371075843,13.984842421588493,10.717451117240666,11.627115918575095,5.853703735513831,12.532219963033386,4.94859969105554,25.689174944205106,2.3577265030133976,12.364030372100288,3.681379209835703,16.181181782119083,1.6208120494882046
2024-06-29,26,6,Jun,5,1,ML FORECAST 2024-06-29,0.0762506048614822,0.10593252110296598,0.23183850271737022,12.008645400660143,8.741254096312316,7.74043670937232,2.999134787089142,6.4088405228610865,4.330730973600375,16.24802671965913,4.268208691287823,8.131980376540039,2.4345583694553694,13.250749215647662,3.876665024120104
2024-06-30,26,6,Jun,6,1,ML FORECAST 2024-06-30,0.060521347358848177,0.08835194470132683,0.2175137793187839,10.420770603820927,7.153379299473099,6.25211914844064,2.845832364501744,4.7672205393420075,4.330730973600376,16.24802671965913,4.168651455380287,6.914436563363235,2.221083268407954,12.675687041246125,3.5063340404576913
2024-07-01,27,7,Jul,0,0,ML FORECAST 2024-07-01,0.0678257573807727,0.10675574769323116,0.23810954529669817,10.20869797945901,6.941306675111182,7.816791191648337,3.1333146166870836,6.619374834735046,4.3307309736003745,16.24802671965913,2.391906787810674,8.838942049870711,2.0812820646546473,11.079767740352771,1.3697559295882993
2024-07-02,27,7,Jul,1,0,ML FORECAST 2024-07-02,0.09191481263314694,0.13196549091052837,0.2590333034574794,12.79530887776497,9.527917573417144,10.70541421347798,5.731348493489656,11.488163015912093,4.94859969105554,25.68917494420511,2.089894664286991,11.062684329048379,5.489107419269855,24.646607801764894,1.7326245487165917
2024-07-03,27,7,Jul,2,0,ML FORECAST 2024-07-03,0.10293902833959469,0.13501134104502407,0.26693050130099305,13.910392157637872,10.643000853290044,11.891349884491891,7.051470077503741,13.702506990167466,5.240312971828166,30.146607801764894,2.019042273145981,12.87383356283296,4.859053499490383,20.98005544020174,1.0365585948049123
2024-07-04,27,7,Jul,3,0,ML FORECAST 2024-07-04,0.10478917935326167,0.14217931950244703,0.27091481194255096,14.124875721875569,10.857484417527742,12.25980974042389,6.015231579939275,13.326441629307624,4.94859969105554,25.689174944205106,1.8650659814516786,12.949840789924206,4.893666331363445,20.74862808226152,1.1750349319513624
2024-07-05,27,7,Jul,4,0,ML FORECAST 2024-07-05,0.10888311751987075,0.140002105932548,0.2716836105911544,14.506625625717152,11.239234321369326,12.31944078129614,7.22944639905187,14.308574208519847,5.240312971828166,30.146607801764898,2.1871848444210116,12.796517955467973,6.990880346769256,29.125520245901615,1.7101076702491795
2024-07-06,27,7,Jul,5,1,ML FORECAST 2024-07-06,0.08366226407795123,0.11136063260942176,0.24112278620024163,12.535958611803217,9.268567307455388,8.835714995499252,3.2227944354745093,7.727778457373385,4.330730973600375,16.24802671965913,3.7002436163039647,9.362845751922716,2.735421564333751,13.774568758766367,3.1731128598805007
2024-07-07,27,7,Jul,6,1,ML FORECAST 2024-07-07,0.07603512560114196,0.11114243980468407,0.24238144119203625,11.607403106650231,8.340011802302403,8.272665948495806,3.169448067662692,7.111383042558122,4.330730973600376,16.248026719659123,3.334737158154425,8.586707897185065,3.3751536804843587,17.115711308990118,3.020695209465167
2024-07-08,28,7,Jul,0,0,ML FORECAST 2024-07-08,0.10366905302709217,0.14535116989637425,0.27735116989637426,13.732377577902042,10.464986273554214,11.835335914088086,6.691318037865694,13.413054260898239,5.113599691055541,28.210405446804764,1.8970416638139564,12.383320143765026,5.990582562507328,25.36665400808965,1.3490574341370163
2024-07-09,28,7,Jul,1,0,ML FORECAST 2024-07-09,0.11076113756198862,0.15088534573917559,0.28288534573917556,14.683381417857891,11.415990113510063,12.466024539811173,6.141351728155313,13.658776576910945,4.94859969105554,25.689174944205106,2.2173568780467185,13.304305969823023,5.45455875308425,22.59430861449656,1.3790754480348681
2024-07-10,28,7,Jul,2,0,ML FORECAST 2024-07-10,0.1127699711341209,0.14752649692855402,0.279526496928554,14.834220302492483,11.566828998144654,12.791706322263506,7.274927636824833,14.826320987260173,5.240312971828167,30.146607801764898,2.0425139802289767,13.499227832381854,3.800363792495853,15.892570348577559,1.3349924701106293
2024-07-11,28,7,Jul,3,0,ML FORECAST 2024-07-11,0.10461403253227806,0.1349253907049008,0.26514032135184357,14.197981291752377,10.930589987404549,11.918555789956692,5.9483497734877,12.918305872388851,4.94859969105554,25.689174944205106,2.2794255017956857,12.286042487173962,6.547967378997233,28.115711308990118,1.9119388045784156
